filter_slug,alias
levoit-rf-rar029,RF-RAR029
levoit-rf-rar029,Core 300 filter
levoit-rf-rar029,RAR029
coway-max2-hepa,3304899
coway-max2-hepa,Max2
winix-hepa-115115,115115
winix-carbon-116131,116131
gg-flt4825,FLT4825
honeywell-hrf-r3,HRF-R3
medify-ma112-rf,MA-112 filter
medify-ma22-rf,MA-22-RF
holmes-hapf30,HAPF30
holmes-hapf30,HAPF300
shark-hepa-hp100,Shark HP100
rabbit-biogs-minusa2,BioGS
renpho-rp-ap088,AP088
livepure-aspen-lp-hf350,LP-HF350
livepure-aspen-lp-hf350,LPHF350
iqair-hyperhepa-hp250,102141400
iqair-hyperhepa-hp250,HyperHEPA
austin-air-hm400-fr400,FR400
airdoctor-ad3000-cartridge,ADF401
shark-hepa-he15fkp,HE15FKPET
shark-hepa-he3fkp,HE3FKPET
