brand_slug,slug,oem_part_number,name,replacement_interval_months,notes
lg,lt1000p,LT1000P,LG refrigerator filter,6,
lg,adq73613402,ADQ73613402,LG alternate OEM,6,
ge,mwf,MWF,GE MWF cartridge,6,
ge,mswf,MSWF,GE MSWF,6,
ge,xwf,XWF,GE XWF,6,
samsung,da29-00020b,DA29-00020B,Samsung HAF-CIN,6,
samsung,da97-17376b,DA97-17376B,Samsung HAF-QIN,6,
whirlpool,4396841,4396841,Whirlpool Everydrop 1,6,
whirlpool,4396702,4396702,Whirlpool Everydrop 2,6,
whirlpool,edr4rxd1,EDR4RXD1,Whirlpool Everydrop 4,6,
frigidaire,fpuresource3,WF3CB,Frigidaire PureSource 3,6,
frigidaire,fpuresourceultra,EPTWFU01,Frigidaire Ultra,6,
lg,lt120f,LT120F,LG LT120F refrigerator,6,
ge,rpwfe,RPWFE,GE RPWFE with chip,6,
lg,lt700p,LT700P,LG LT700P,6,
lg,lt800p,LT800P,LG LT800P,6,
samsung,hafcin,HAFCIN,Samsung internal short code,6,
whirlpool,4396710,4396710,Whirlpool filter alternate,6,
ge,gswf,GSWF,GE GSWF,6,
lg,adq74793501,ADQ74793501,LG slim cartridge,6,
lg,lt1000pc,LT1000PC,LG LT1000P compatible line note,6,
