brand_slug,slug,oem_part_number,name,replacement_interval_months,notes
lg,lt1000p,LT1000P,LG LT1000P (common 2018+ French door / side-by-side),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
lg,lt700p,LT700P,LG LT700P (prior-gen slim filter),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
lg,lt800p,LT800P,LG LT800P,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
lg,lt600p,LT600P,LG LT600P,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
lg,adq74793501,ADQ74793501,LG ADQ74793501 slim-line cartridge,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
lg,adq73613402,ADQ73613402,LG ADQ73613402,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
lg,adq73613403,ADQ73613403,LG ADQ73613403,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
lg,adq36006101,ADQ36006101,LG ADQ36006101,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
lg,mdj64844601,MDJ64844601,LG MDJ64844601,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
lg,adq75795101,ADQ75795101,LG ADQ75795101,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
lg,lt1000pc,LT1000PC,LG LT1000PC (certified alternate listing),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
lg,adq74793502,ADQ74793502,LG ADQ74793502,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
samsung,da29-00020b,DA29-00020B,Samsung DA29-00020B / HAF-CIN family,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
samsung,da97-17376b,DA97-17376B,Samsung DA97-17376B / HAF-QIN family,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
samsung,da29-00003g,DA29-00003G,Samsung DA29-00003G,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
samsung,da97-08006b,DA97-08006B,Samsung DA97-08006B,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
samsung,da29-00019a,DA29-00019A,Samsung DA29-00019A,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
samsung,da29-10105j,DA29-10105J,Samsung DA29-10105J,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
samsung,da97-19467c,DA97-19467C,Samsung DA97-19467C,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
samsung,da97-15217d,DA97-15217D,Samsung DA97-15217D,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
samsung,da29-00020a,DA29-00020A,Samsung DA29-00020A (prior revision),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
samsung,da97-06317a,DA97-06317A,Samsung DA97-06317A,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
samsung,da29-00012b,DA29-00012B,Samsung DA29-00012B,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
samsung,da97-17376a,DA97-17376A,Samsung DA97-17376A (HAF-QIN variant),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
whirlpool,edr1rxd1,EDR1RXD1,EveryDrop Filter 1 (Whirlpool/KitchenAid/Maytag),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
whirlpool,edr2rxd1,EDR2RXD1,EveryDrop Filter 2,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
whirlpool,edr3rxd1,EDR3RXD1,EveryDrop Filter 3,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
whirlpool,edr4rxd1,EDR4RXD1,EveryDrop Filter 4,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
whirlpool,ukf8001,UKF8001,KitchenAid UKF8001 (EveryDrop Filter 4 compatible),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
whirlpool,w10413645a,W10413645A,Whirlpool W10413645A,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
whirlpool,4396841,4396841,Whirlpool 4396841 (EveryDrop 1 compatible),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
whirlpool,4396710,4396710,Whirlpool 4396710,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
whirlpool,4396508,4396508,Whirlpool 4396508,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
whirlpool,4396395,4396395,Whirlpool 4396395,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
whirlpool,8171413,8171413,Whirlpool 8171413,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
whirlpool,4396842,4396842,Whirlpool 4396842,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
whirlpool,46-9002,46-9002,Whirlpool 46-9002,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
ge,mwf,MWF,GE MWF SmartWater (older side-by-side),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
ge,mswf,MSWF,GE MSWF,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
ge,rpwfe,RPWFE,GE RPWFE (RFID),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
ge,xwfe,XWFE,GE XWFE (RFID),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
ge,xwf,XWF,GE XWF (non-RFID shell),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
ge,gswf,GSWF,GE GSWF,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
ge,smartwater-mwfp,MWFP,GE MWFP,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
ge,opfg3f,OPFG3F,GE OPFG3F (published GE alternate),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
ge,pfmwf,PFMWF,GE PFMWF,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
ge,gswf2,GSWF2,GE GSWF2 listing (verify housing),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
frigidaire,wf3cb,WF3CB,Frigidaire PureSource 3 (WF3CB),6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
frigidaire,ultrawf,ULTRAWF,Frigidaire ULTRAWF PureSource Ultra,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
frigidaire,eptwfu01,EPTWFU01,Frigidaire EPTWFU01,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
frigidaire,fppwfu01,FPPWFU01,Frigidaire FPPWFU01,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
frigidaire,wf2cb,WF2CB,Frigidaire WF2CB,6,"Published OEM-style part number; confirm year/trim with LG/Samsung/GE/Whirlpool/Frigidaire fit charts."
