model_number,samsung_source_url,source_type,identifier_found,evidence_summary,confusion_identifier_found,classification,notes
BRF365200**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
BRF425200**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF18A5101**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF20A5101**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF22A4221**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF22R7351**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF22R7551**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF23A9071**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF23A9671**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF23A9675**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF23A9771**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF23B7671**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/,Filter Finder Tool,HAF-QIN,Listed under HAF-QIN Filter section on Samsung US Water Filter Finder,none,PASS_CANDIDATE,US Filter Finder wildcard entry
RF23BB8200**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
RF23BB8600**,https://www.samsung.com/us/home-appliances/refrigerators/water-filters/find-your-water-filter/ | https://www.samsung.com/ca/home-appliance-accessories/haf-qinexp-haf-qin-exp/,Filter Finder + Product Page,HAF-QIN + DA97-17376B,US Filter Finder + CA Fits in list with DA97-17376B cartridge code,none,PASS_CANDIDATE,Dual-source confirmation US+CA
