model_slug,filter_slug,is_recommended
pentek-bb10-housing-158643,pentek-dgd-5005,true
pentek-bb10-housing-158643,pentek-wp10bb97p,false
pentek-bb10-housing-158643,pentek-ep-10bb,false
pentek-bb10-housing-158643,pentek-s1-bb,false
pentek-bb10-housing-158643,pentek-r50-bb,false
pentek-bb10-housing-158643,pentek-p5-bb,false
pentek-bb10-housing-158643,pentek-cbc-10bb,false
pentek-bb10-housing-158643,pentek-gac-10bb,false
pentek-bb10-housing-158643,pentek-cc-10bb,false
pentek-bb10-housing-158643,pentek-epm-10bb,false
pentek-bb10-housing-158643,pentek-rfccw-bb,false
pentek-bb10-housing-158643,pentek-rffe10-bb,false
pentek-bb10-housing-158643,pentek-to-10bb,false
pentek-bb10-housing-158643,pentek-pcc-10bb,false
pentek-bb10-housing-158643,pentek-fcb-10bb,false
pentek-bb10-housing-158643,pentek-cfb-plus10bb,false
pentek-bb10-housing-158643,pentek-wp1bb97p,false
pentek-bb10-housing-158643,pentek-wp25bb97p,false
pentek-bb10-housing-158643,pentek-dgd-5001,false
pentek-bb10-housing-158643,pentek-swc-10bb,false
pentek-bb10-housing-158643,pentek-ecp1-10bb,false
pentek-bb10-housing-158643,pentek-ecp5-10bb,false
pentek-bb10-housing-158643,pentek-r30-bb,false
pentek-bb10-housing-158002,pentek-dgd-5005,true
pentek-bb10-housing-158002,pentek-wp10bb97p,false
pentek-bb10-housing-158002,pentek-ep-10bb,false
pentek-bb10-housing-158002,pentek-s1-bb,false
pentek-bb10-housing-158002,pentek-r50-bb,false
pentek-bb10-housing-158002,pentek-p5-bb,false
pentek-bb10-housing-158002,pentek-cbc-10bb,false
pentek-bb10-housing-158002,pentek-gac-10bb,false
pentek-bb10-housing-158002,pentek-cc-10bb,false
pentek-bb10-housing-158002,pentek-epm-10bb,false
pentek-bb10-housing-158002,pentek-rfccw-bb,false
pentek-bb10-housing-158002,pentek-rffe10-bb,false
pentek-bb10-housing-158002,pentek-to-10bb,false
pentek-bb10-housing-158002,pentek-pcc-10bb,false
pentek-bb10-housing-158002,pentek-fcb-10bb,false
pentek-bb10-housing-158002,pentek-cfb-plus10bb,false
pentek-bb10-housing-158002,pentek-wp1bb97p,false
pentek-bb10-housing-158002,pentek-wp25bb97p,false
pentek-bb10-housing-158002,pentek-dgd-5001,false
pentek-bb10-housing-158002,pentek-swc-10bb,false
pentek-bb10-housing-158002,pentek-ecp1-10bb,false
pentek-bb10-housing-158002,pentek-ecp5-10bb,false
pentek-bb10-housing-158002,pentek-r30-bb,false
pentek-bb10-housing-158234,pentek-dgd-5005,true
pentek-bb10-housing-158234,pentek-wp10bb97p,false
pentek-bb10-housing-158234,pentek-ep-10bb,false
pentek-bb10-housing-158234,pentek-s1-bb,false
pentek-bb10-housing-158234,pentek-r50-bb,false
pentek-bb10-housing-158234,pentek-p5-bb,false
pentek-bb10-housing-158234,pentek-cbc-10bb,false
pentek-bb10-housing-158234,pentek-gac-10bb,false
pentek-bb10-housing-158234,pentek-cc-10bb,false
pentek-bb10-housing-158234,pentek-epm-10bb,false
pentek-bb10-housing-158234,pentek-rfccw-bb,false
pentek-bb10-housing-158234,pentek-rffe10-bb,false
pentek-bb10-housing-158234,pentek-to-10bb,false
pentek-bb10-housing-158234,pentek-pcc-10bb,false
pentek-bb10-housing-158234,pentek-fcb-10bb,false
pentek-bb10-housing-158234,pentek-cfb-plus10bb,false
pentek-bb10-housing-158234,pentek-wp1bb97p,false
pentek-bb10-housing-158234,pentek-wp25bb97p,false
pentek-bb10-housing-158234,pentek-dgd-5001,false
pentek-bb10-housing-158234,pentek-swc-10bb,false
pentek-bb10-housing-158234,pentek-ecp1-10bb,false
pentek-bb10-housing-158234,pentek-ecp5-10bb,false
pentek-bb10-housing-158234,pentek-r30-bb,false
pentek-bb10-housing-158368,pentek-dgd-5005,true
pentek-bb10-housing-158368,pentek-wp10bb97p,false
pentek-bb10-housing-158368,pentek-ep-10bb,false
pentek-bb10-housing-158368,pentek-s1-bb,false
pentek-bb10-housing-158368,pentek-r50-bb,false
pentek-bb10-housing-158368,pentek-p5-bb,false
pentek-bb10-housing-158368,pentek-cbc-10bb,false
pentek-bb10-housing-158368,pentek-gac-10bb,false
pentek-bb10-housing-158368,pentek-cc-10bb,false
