brand_slug,slug,oem_part_number,name,replacement_interval_months,notes
pentek,pentek-dgd-5005,DGD-5005,Pentek dual-gradient sediment cartridge,6,10 x 4.5 in. Big Blue; 50/5 micron layers. Fits standard BB10 housings (verify sump length).
pentek,pentek-wp10bb97p,WP10BB97P,Pentek string-wound sediment cartridge,6,10 x 4.5 in. Big Blue; nominal 10 micron. Fits standard BB10 housings.
pentek,pentek-ep-10bb,EP-10BB,Pentek carbon block cartridge,12,10 x 4.5 in. Big Blue carbon block. Typically after a sediment stage.
pentek,pentek-s1-bb,S1-BB,Pentek polypropylene sediment cartridge,6,10 x 4.5 in. Big Blue; nominal 20 micron. Fits standard BB10 housings.
pentek,pentek-r50-bb,R50-BB,Pentek pleated sediment cartridge,6,10 x 4.5 in. Big Blue; nominal 50 micron. Fits standard BB10 housings.
pentek,pentek-p5-bb,P5-BB,Pentek polypropylene sediment cartridge,6,10 x 4.5 in. Big Blue; nominal 5 micron. Fits standard BB10 housings.
pentek,pentek-cbc-10bb,CBC-10BB,Pentek carbon block cartridge,12,10 x 4.5 in. Big Blue; chloramine-capable carbon block. Fits standard BB10 housings.
pentek,pentek-gac-10bb,GAC-10BB,Pentek granular activated carbon cartridge,12,10 x 4.5 in. Big Blue GAC. Fits standard BB10 housings.
pentek,pentek-cc-10bb,CC-10BB,Pentek coconut shell GAC cartridge,12,10 x 4.5 in. Big Blue. Fits standard BB10 housings.
pentek,pentek-epm-10bb,EPM-10BB,Pentek carbon block cartridge,12,10 x 4.5 in. Big Blue carbon block. Fits standard BB10 housings.
pentek,pentek-rfccw-bb,RFCCW-BB,Pentek radial-flow coconut carbon cartridge,12,10 x 4.5 in. Big Blue. Fits standard BB10 housings.
pentek,pentek-rffe10-bb,RFFE10-BB,Pentek iron reduction cartridge,12,10 x 4.5 in. Big Blue iron reduction media. Fits standard BB10 housings.
pentek,pentek-to-10bb,TO-10BB,Pentek organic / tannin reduction cartridge,12,10 x 4.5 in. Big Blue. Fits standard BB10 housings.
pentek,pentek-pcc-10bb,PCC-10BB,Pentek phosphate crystal cartridge,6,10 x 4.5 in. Big Blue scale inhibitor media. Fits standard BB10 housings.
pentek,pentek-fcb-10bb,FCB-10BB,Pentek fibrillated carbon block cartridge,12,10 x 4.5 in. Big Blue. Fits standard BB10 housings.
pentek,pentek-cfb-plus10bb,CFB-PLUS10BB,Pentek lead-reduction carbon block cartridge,12,10 x 4.5 in. Big Blue. Fits standard BB10 housings; confirm your certification needs.
pentek,pentek-wp1bb97p,WP1BB97P,Pentek string-wound sediment cartridge,6,10 x 4.5 in. Big Blue; nominal 1 micron. Fits standard BB10 housings.
pentek,pentek-wp25bb97p,WP25BB97P,Pentek string-wound sediment cartridge,6,10 x 4.5 in. Big Blue; nominal 25 micron. Fits standard BB10 housings.
pentek,pentek-dgd-5001,DGD-5001,Pentek dual-gradient sediment cartridge,6,10 x 4.5 in. Big Blue; layered sediment. Fits standard BB10 housings.
pentek,pentek-swc-10bb,SWC-10BB,Pentek string-wound cellulose cartridge,6,10 x 4.5 in. Big Blue. Fits standard BB10 housings.
pentek,pentek-ecp1-10bb,ECP1-10BB,Pentek pleated sediment cartridge,6,10 x 4.5 in. Big Blue; nominal 1 micron. Fits standard BB10 housings.
pentek,pentek-ecp5-10bb,ECP5-10BB,Pentek pleated sediment cartridge,6,10 x 4.5 in. Big Blue; nominal 5 micron. Fits standard BB10 housings.
pentek,pentek-r30-bb,R30-BB,Pentek pleated sediment cartridge,6,10 x 4.5 in. Big Blue; nominal 30 micron. Fits standard BB10 housings.
pentek,pentek-dgd-7525,DGD-7525,Pentek dual-gradient sediment cartridge,6,20 x 4.5 in. Big Blue; 75/25 micron layers. Fits standard BB20 housings.
pentek,pentek-ecp20-bb,ECP20-BB,Pentek pleated sediment cartridge,6,20 x 4.5 in. Big Blue; nominal 50 micron. Fits standard BB20 housings.
pentek,pentek-wp25bb20p,WP25BB20P,Pentek string-wound sediment cartridge,6,20 x 4.5 in. Big Blue; nominal 25 micron. Fits standard BB20 housings.
