filter_slug,retailer_name,affiliate_url,is_primary,retailer_key,retailer_slug,destination_url
pentek-dgd-5005,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=DGD-5005,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=DGD-5005
pentek-wp10bb97p,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=WP10BB97P,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=WP10BB97P
pentek-ep-10bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=EP-10BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=EP-10BB
pentek-s1-bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=S1-BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=S1-BB
pentek-r50-bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=R50-BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=R50-BB
pentek-p5-bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=P5-BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=P5-BB
pentek-cbc-10bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=CBC-10BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=CBC-10BB
pentek-gac-10bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=GAC-10BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=GAC-10BB
pentek-cc-10bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=CC-10BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=CC-10BB
pentek-epm-10bb,OEM / manufacturer catalog (keyword lookup),https://www.pentair.com/en-us/water-solutions/search.html#q=EPM-10BB,true,oem-catalog,oem-catalog,https://www.pentair.com/en-us/water-solutions/search.html#q=EPM-10BB
